study	pheno	ancestry	n_case	n_control	n_total
FOURIER	Pheno1	EUR	1994	9875	11869
ENGAGE	Pheno1	EUR	4681	4061	8742
BioVU	Pheno1	EUR	6571	21584	28155
FINNGEN-r3	Pheno1	EUR	13843	121422	135265
MGB	Pheno1	EUR	5542	20242	25784
DiscovEHR-OMNI	Pheno1	EUR	6386	50336	56722
Chb	Pheno1	EUR	24957	207115	232072
PEGASUS	Pheno1	EUR	1533	8029	9562
FHS	Pheno1	EUR	476	3290	3766
PROSPER	Pheno1	EUR	209	4978	5187
EPHESUS	Pheno1	EUR	1092	882	1974
ARIC	Pheno1	EUR	2230	6915	9145
ORIGIN	Pheno1	EUR	114	1817	1931
GoDARTS-AFFY	Pheno1	EUR	627	3217	3844
SHIP	Pheno1	EUR	352	1126	1478
SOLID	Pheno1	EUR	1163	5965	7128
BioSHiFT-TRIUMPH	Pheno1	EUR	619	1467	2086
ULSAM	Pheno1	EUR	288	891	1179
deCODE	Pheno1	EUR	20189	326976	347165
GoDARTS-ILLUMINA	Pheno1	EUR	473	3192	3665
UKBiobank	Pheno1	EUR	11903	396512	408415
GoDARTS-BROAD	Pheno1	EUR	127	1793	1920
EstBiobank	Pheno1	EUR	8393	187040	195433
TwinGene	Pheno1	EUR	563	6200	6763
EPIC-Norfolk	Pheno1	EUR	2212	17038	19250
PIVUS	Pheno1	EUR	116	833	949
DiscovEHR-GSA	Pheno1	EUR	2807	65685	68492
HFH-Ipaad	Pheno1	EUR	860	318	1178
MDCS-INC	Pheno1	EUR	1177	19197	20374
CHS	Pheno1	EUR	1123	2145	3268
GIANT	Pheno1	EUR	722	1516	2238
MAGnet	Pheno1	EUR	2205	4523	6728
SAVOR	Pheno1	EUR	796	4797	5593
H1-BIOSTAT-CHF	Pheno1	EUR	1561	954	2515
H1-COGEN	Pheno1	EUR	636	2215	2851
H1-PREVEND	Pheno1	EUR	163	3486	3649
H1-LURIC	Pheno1	EUR	1007	2054	3061
H1-GRADE	Pheno1	EUR	1060	7709	8769
H1-RS1	Pheno1	EUR	876	3807	4683
H1-WGHS	Pheno1	EUR	479	22791	23270
